Breed,Country of Origin,Fur Color,Height (in),Color of Eyes,Longevity (yrs),Character Traits,Common Health Problems
Labrador Retriever,Canada,"Yellow, Black, Chocolate",21-24,Brown,10-Dec,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections"
German Shepherd,Germany,"Black, Tan",22-26,Brown,07-Oct,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis"
Bulldog,England,"White, Red",Dec-16,,08-Oct,"Loyal, calm, gentle, brave","Skin allergies, respiratory issues, obesity"
Poodle,France,"White, Black, Brown, Apricot",Oct-15,"Brown, Blue",Dec-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Beagle,England,"White, Tan, Red, Lemon",13-15,Brown,Dec-15,"Curious, friendly, energetic, good-natured","Ear infections, hip dysplasia, epilepsy"
Chihuahua,Mexico,"Black, Brown, Tan, White",06-Sep,"Brown, Blue",Dec-20,"Loyal, energetic, confident, sensitive","Dental problems, eye issues, respiratory issues"
Boxer,Germany,"Fawn, Brindle",21-25,Brown,10-Dec,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
Golden Retriever,Scotland,Golden,21-24,Brown,10-Dec,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies"
Pug,China,,Oct-14,Brown,Dec-15,"Loyal, playful, affectionate, social, charming","Eye problems, respiratory issues, obesity"
Rottweiler,Germany,"Black, Tan",22-27,Brown,08-Oct,"Loyal, protective, confident, strong","Hip dysplasia, cancer, elbow dysplasia"
Siberian Husky,Russia,"Black, White",21-24,Blue,Dec-15,"Independent, energetic, intelligent, playful, strong","Hip dysplasia, eye problems, hereditary myopathy"
Dachshund,Germany,"Black, Tan",05-Sep,"Brown, Blue",Dec-15,"Loyal, energetic, playful, curious","Intervertebral disc disease, hip dysplasia, diabetes"
Shih Tzu,China,"Black, White, Brown",09-Oct,Brown,Oct-16,"Affectionate, playful, confident, good-natured","Dental problems, respiratory issues, eye problems"
Bichon Frise,France,,09-Nov,Brown,Dec-15,"Playful, affectionate, intelligent, social","Dental problems, eye problems, bladder stones"
Australian Shepherd,Australia,"Black, Red",18-23,"Brown, Blue",Dec-15,"Intelligent, energetic, loyal, trainable","Hip dysplasia, eye problems, epilepsy"
Basset Hound,France,"Black, Tan",Nov-15,Brown,10-Dec,"Affectionate, patient, gentle, good-natured","Dental problems, ear infections, obesity"
Cocker Spaniel,England,"Black, Brown",14-15,Brown,Dec-15,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
French Bulldog,France,"White, Black, Brindle",11-Dec,Brown,10-Dec,"Affectionate, playful, good-natured","Breathing problems, eye problems, hip dysplasia"
Pomeranian,Germany,"Orange, Sable, Black",06-Jul,Brown,Dec-16,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Great Dane,Germany,"Black, Blue, Fawn, Harlequin",28-34,Brown,08-Oct,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, cancer, heart conditions"
Mastiff,England,"Apricot, Fawn",30-34,Brown,08-Oct,"Loyal, gentle, protective, good-natured","Hip dysplasia, heart conditions, cancer"
Newfoundland,Canada,"Black, Brown, Grey",26-28,Brown,09-Nov,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Saint Bernard,Switzerland,"Red, White",26-30,Brown,08-Oct,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
Old English Sheepdog,England,"Blue, Grey",22-26,Brown,10-Dec,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies"
Irish Wolfhound,Ireland,"Grey, Red, Black",30-35,Brown,06-Aug,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
Greyhound,England,"Black, White, Brindle",26-30,Brown,10-Dec,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Scottish Deerhound,Scotland,"Blue, Grey",28-32,Brown,08-Oct,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
Great Pyrenees,France,White,25-32,Brown,10-Dec,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Shar Pei,China,"Cream, Fawn",18-20,Brown,08-Dec,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Doberman Pinscher,Germany,"Black, Red",24-28,Brown,10-Dec,"Loyal, energetic, intelligent, protective","Hip dysplasia, heart conditions, cancer"
Weimaraner,Germany,,25-29,"Blue, Grey",10-Dec,"Energetic, intelligent, good-natured, loyal","Hip dysplasia, eye problems, cancer"
Belgian Malinois,Belgium,"Fawn, Mahogany",22-26,Brown,Dec-14,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Rhodesian Ridgeback,Rhodesia,Light Wheaten,25-27,,10-Dec,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
English Setter,England,,23-27,Brown,Dec-15,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Pointer,England,"Black, White, Liver",21-27,Brown,Dec-15,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Gordon Setter,Scotland,"Black, Tan",23-27,Brown,Dec-15,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Irish Setter,Ireland,Red,24-28,Brown,Dec-15,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Papillon,France,"White, Black, Sable, Red",08-Nov,Brown,14-16,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, bladder stones"
Pekingese,China,"Black, White, Red",06-Sep,Brown,Dec-15,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
Toy Poodle,France,"White, Black, Brown, Apricot",10-Nov,,Dec-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Miniature Poodle,France,"White, Black, Brown, Apricot",Oct-15,"Brown, Blue",Dec-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Standard Poodle,France,"White, Black, Brown, Apricot",15-22,"Brown, Blue",Dec-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Affenpinscher,Germany,"Black, Brown, Red",09-Nov,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Boston Terrier,United States,"Black, White",15-17,Brown,Nov-13,"Intelligent, energetic, affectionate, good-natured","Eye problems, respiratory issues, skin allergies"
Brussels Griffon,Belgium,"Black, Red",07-Oct,Brown,Dec-15,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, respiratory issues"
Cairn Terrier,Scotland,"Black, Wheaten, Red",10-Dec,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Chinese Crested,China,"Pink, White, Black",Nov-13,Brown,13-18,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, skin allergies"
Miniature Schnauzer,Germany,"Black, Salt & Pepper, White",Dec-14,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Standard Schnauzer,Germany,"Black, Salt & Pepper",18-20,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
West Highland White Terrier,Scotland,White,11-Dec,Brown,Dec-16,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Australian Terrier,Australia,"Red, Black & Tan",10-Nov,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Border Terrier,England,"Red, Wheaten, Black",Oct-16,Brown,Dec-16,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Coton de Tulear,Madagascar,White,09-Nov,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
English Toy Spaniel,England,"White, Blenheim",10-Dec,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Australian Stumpy Tail Cattle Dog,Australia,"Red, Black",17-20,Brown,Dec-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Pug,China,"Black, Fawn",Oct-14,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, respiratory issues, eye problems"
American Eskimo Dog,United States,White,15-19,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Australian Cattle Dog,Australia,"Blue, Red",17-20,Brown,Dec-16,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Basset Hound,France,"Black, White, Red",Nov-15,Brown,10-Dec,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Australian Kelpie,Australia,"Red, Black",17-20,Brown,Dec-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Bloodhound,England,"Red, Black",22-27,Brown,10-Dec,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Border Collie,England,"Black, White, Red",18-22,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Shepherd,Australia,Blue Merle,20-23,Brown,Dec-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
American Bulldog,United States,"White, Red",20-28,Brown,10-Dec,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Australian Shepherd,Australia,"Black, Red",18-23,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Borzoi,Russia,"White, Cream, Red",26-29,Brown,10-Dec,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Bull Terrier,England,"White, Red",20-22,Brown,10-Dec,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Cane Corso,Italy,"Black, Red",22-28,Brown,10-Dec,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Cardigan Welsh Corgi,Wales,"Red, Sable, Black",10-Dec,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Chesapeake Bay Retriever,United States,"Brown, Tan",21-26,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Saluki,Middle East,"Cream, Red",23-28,Brown,Dec-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
English Setter,England,"Liver, Blue",25-27,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
English Springer Spaniel,England,"Black, White, Liver",20-24,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Field Spaniel,England,"Black, Liver",15-18,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Finnish Spitz,Finland,"Red, Golden",15-20,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Flat-Coated Retriever,England,"Black, Liver",22-25,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Terrier,Australia,Red,10-Nov,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Giant Schnauzer,Germany,"Black, Salt & Pepper",25-28,Brown,10-Dec,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Golden Retriever,Scotland,Gold,21-24,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Gordon Setter,Scotland,"Black, Tan",24-27,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Cattle Dog,Australia,"Blue, Red",17-20,Brown,Dec-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Greyhound,England,"White, Black, Red",26-30,Brown,10-Dec,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Harrier,England,"Red, Black & Tan",18-21,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Setter,Ireland,Red,26-28,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Terrier,Ireland,Red,14-16,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Water Spaniel,Ireland,Brown,21-24,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Wolfhound,Ireland,"Grey, Red",30-35,Brown,06-Oct,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Italian Greyhound,Italy,"Red, Black",13-15,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Jack Russell Terrier,England,"White, Black & Tan",10-Dec,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Japanese Chin,Japan,"Black, Red",07-Nov,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Keeshond,Netherlands,"Black, Cream",17-19,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Kerry Blue Terrier,Ireland,Blue,17-19,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Kuvasz,Hungary,White,25-29,Brown,10-Dec,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Lhasa Apso,Tibet,"Black, White",10-Nov,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Maltese,Malta,White,08-Oct,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Miniature Pinscher,Germany,"Red, Stag Red",10-Dec,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Samoyed,Russia,White,21-23,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Shetland Sheepdog,Scotland,"Sable, Black",13-16,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Staffordshire Bull Terrier,England,"White, Black, Red",14-16,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Vizsla,Hungary,Red,20-24,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Anatolian Shepherd,Turkey,Fawn,27-29,Brown,Dec-14,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Welsh Corgi,Wales,"Red, Sable",10-Dec,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Welsh Springer Spaniel,Wales,"Liver, White",20-25,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Welsh Terrier,Wales,"Black, Tan",10-Dec,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
West Highland White Terrier,Scotland,White,10-Dec,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Whippet,England,"White, Black, Red",18-22,Brown,Dec-15,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Wirehaired Pointing Griffon,Belgium,"Brown, White",21-24,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Xoloitzcuintli,Mexico,"Black, Red",Oct-14,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Yorkshire Terrier,England,Blue & Tan,07-Aug,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Akita,Japan,"Red, Fawn, Sesame",24-28,Brown,10-Dec,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Africanis,Africa,"Brown, Red",22-25,Brown,Dec-15,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Basenji,Congo,"Red, Black & White",16-17,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Catahoula Leopard Dog,United States,"Merle, Black",20-26,Brown,Dec-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Cocker Spaniel,England,"Black, Brown",14-15,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Miniature Shiba Inu,Japan,"Red, Sesame",13-16,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Belgian Tervuren,Belgium,Fawn,22-26,Brown,Dec-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Pharaoh Hound,Malta,Red,21-25,Brown,Dec-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
